context,question,answers/0,answers/1,answers/2,answers/3,label,id_string
"One of the things lenders do in evaluating the risk of a potential borrower defaulting on a loan is to consider the potential borrower' s credit score. In general, the higher the credit score, the less the risk of default. Yet for mortgage loans, the proportion of defaults is much higher for borrowers with the highest credit scores than for other borrowers.","Which one of the following, if true, most helps to resolve the apparent discrepancy in the statements above?",Mortgage lenders are much less likely to consider risk factors other than credit score when evaluating borrowers with the highest credit scores.,Most potential borrowers have credit scores that are neither very low nor very high.,Credit scores reported to mortgage lenders are based on collections of data that sometimes include errors or omit relevant information.,A potential borrower's credit score is based in part on the potential borrower's past history in paying off debts in full and on time.,0,val_319
"Essayist: Only happiness is intrinsically valuable; other things are valuable only insofar as they contribute to happiness. Some philosophers argue that the fact that we do not approve of a bad person' s being happy shows that we value happiness only when it is deserved. This supposedly shows that we find something besides happiness to be intrinsically valuable. But the happiness people deserve is determined by the amount of happiness they bring to others. Ttherefore, __.",Which one of the following most logically completes the final sentence of the essayist's argument?,the judgment that a person deserves to be happy is itself to be understood in terms of happiness,people do not actually value happiness as much as they think they do,the notion that people can be deserving of happiness is ultimately incoherent,the only way to be assured of happiness is to bring happiness to those who have done something to deserve it,0,val_202
"No one in the French department to which Professor Alban belongs is allowed to teach more than one introductory level class in any one term. Moreover, the only language classes being taught next term are advanced ones. So it is untrue that both of the French classes Professor Alban will be teaching next term will be introductory level classes.",The pattern of reasoning displayed in the argument above is most closely paralleled by that in which one of the following arguments?,"New buildings that include public space are exempt from city taxes for two years and all new buildings in the city's Alton district are exempt for five years, so the building with the large public space that was recently completed in Alton will not be subject to city taxes next year.","All property on Overton Road will be reassessed for tax purposes by the end of the year and the Elnor Company headquarters is on Overton Road, so Elnor's property taxes will be higher next year.","The Morrison Building will be fully occupied by May and since if a building is occupied by May the new tax rates apply to it, the Morrison Building will be taxed according to the new rates.","The revised tax code does not apply at all to buildings built before 1900, and only the first section of the revised code applies to buildings built between 1900 and 1920, so the revised code does not apply to the Norton Building, since it was built in 1873.",0,val_320
"Some advertisers offer certain consumers home computers free of charge. Advertisements play continuously on the computers' screens whenever they are in use. As consumers use the computers to browse the Internet, information about their browsing patterns is sent to the advertisers, enabling them to transmit to each consumer advertising that accurately reflects his or her individual interests. The advertisers can afford to offer the computers for free because of the increased sales that result from this precise targeting of individual consumers.",Which one of the following is most strongly supported by the information above?,At least some consumers who use a computer offered free of charge by advertisers for browsing the Internet spend more money on purchases from those advertisers than they would if they did not use such a computer to browse the Internet.,The advertisers would not be able to offer the computers absolutely free of charge if advertisements that accurately reflected the interests of the computers' users did not play continuously across the computers' screens whenever they were in use.,No advertisers could offer promotions that give away computers free of charge if consumers never used those computers to browse the Internet.,"There are at least some consumers who browse the Internet using computers offered free of charge by the advertisers and who, if they did not use those computers to browse the Internet, would spend little if any money on purchases from those advertisers.",0,val_135
"Professor Beckstein: American Sign Language is the native language of many North Americans. Ttherefore, it is not a foreign language, and for that reason alone, no student should be permitted to satisfy the university' s foreign language requirement by learning it. Professor Sedley: According to your argument, students should not be allowed to satisfy the university' s foreign language requirement by learning French or Spanish either, since they too are the native languages of many North Americans. Yet many students currently satisfy the requirement by studying French or Spanish, and it would be ridiculous to begin prohibiting them from doing so.",Their statements commit Professors Beckstein and Sedley to disagreeing about which one of the following?,whether the fact that a language is the native language of many North Americans justifies prohibiting its use to fulfill the university's foreign language requirement,whether any other universities in North America permit their students to fulfill a foreign language requirement by learning American Sign Language,whether American Sign Language is the native language of a significant number of North Americans,whether any North American whose native language is not English should be allowed to fulfill the university's foreign language requirement by studying his or her own native language,0,val_186
"A photograph of the night sky was taken with the camera shutter open for an extended period. The normal motion of stars across the sky caused the images of the stars in the photograph to appear as streaks. However, one bright spot was not streaked. Even if the spot were caused, as astronomers believe, by a celestial object, that object could still have been moving across the sky during the time the shutter was open, since__.",Which of the following most logically completes the argument?,the spot was not the brightest object in the photograph,stars in the night sky do not appear to shift position relative to each other,the spot could have been caused by an object that emitted a flash that lasted for only a fraction of the time that the camera shutter was open,"if the camera shutter had not been open for an extended period, it would have recorded substantially fewer celestial objects",2,val_362
"One way to compare chess-playing programs is to compare how they perform with fixed time limits per move. Given any two computers with which a chess-playing program is compatible, and given fixed time limits per move, such a program will have a better chance of winning on the faster computer. This is simply because the program will be able to examine more possible moves in the time allotted per move.",Which one of the following is most strongly supported by the information above?,"If a chess-playing program is run on two different computers and is allotted more time to examine possible moves when running on the slow computer than when running on the fast computer, it will have an equal chance of winning on either computer.",How fast a given computer is has no effect on which chess-playing computer programs can run on that computer.,"In general, the more moves a given chess-playing program is able to examine under given time constraints per move, the better the chances that program will win.","If one chess-playing program can examine more possible moves than a different chess-playing program run on the same computer under the same time constraints per move, the former program will have a better chance of winning than the latter.",2,val_312
"Environment minister: Because of our concern about global warming, this country has committed itself to reducing its emissions of carbon dioxide substantially over the next ten years. Since trees absorb carbon dioxide, planting large numbers of trees will help us fulfill our commitment.","Which one of the following, if true, would most weaken the environment minister's argument?","When ground is disturbed in the course of planting trees, more carbon dioxide is released into the atmosphere by rotting organic matter in the soil than the new trees will absorb in ten years.",Owners of large tracts of private land are usually unwilling to plant trees unless they are given a financial incentive for doing so.,Many climate researchers believe that global warming is such an urgent problem that carbon dioxide emissions should be substantially reduced in less than ten years.,"Gases other than carbon dioxide contribute to global warming, and trees do not absorb any of these other gases.",0,val_354
"Hunter: Hunters alone are blamed for the decline in Greenrock National Forest' s deer population over the past ten years. Yet clearly, black bears have also played an important role in this decline. In the past ten years, the forest' s protected black bear population has risen sharply, and examination of black bears found dead in the forest during the deer hunting season showed that a number of them had recently fed on deer.","In the hunter's argument, the boldface portion plays which of the following roles?",It is a judgment that the argument opposes.,It is an objection that has been raised against the main conclusion of the argument.,It is the main conclusion of the argument.,It is a finding that the argument seeks to explain.,2,val_222
"Fortune-teller: Admittedly, the claims of some self-proclaimed ""psychics"" have been shown to be fraudulent, but the exposure of a few charlatans cannot alter the fundamental fact that it has not been scientifically proven that there is no such thing as extrasensory perception (ESP). Furthermore, since the failed attempts to produce such a proof have been so numerous, one must conclude that some individuals do possess ESP.",The reasoning in the fortune-teller's argument is most vulnerable to criticism on the grounds that the argument,takes for granted that the fact that a claim has not been demonstrated to be false establishes that it is true,overlooks the possibility that some of the scientific studies mentioned reached inaccurate conclusions about whether ESP exists,takes for granted that proof that many people lack a characteristic does not establish that everyone lacks that characteristic,takes for granted that the number of unsuccessful attempts to prove a claim is the only factor relevant to whether one should accept that claim,0,val_361
