context,question,answers/0,answers/1,answers/2,answers/3,label,id_string,random
"<mark>Zoologist</mark>: It is true that over the past 15 years, there has been a fourfold increase in government funding to preserve endangered species, while the number of endangered species needing such preservation has increased by only 70% (there were, however, a large number of endangered species to begin with 15 years ago). Taking into account inflation, the amount of funding is at least double what it was 15 years ago. Nevertheless, the current amount of funding from the government for species preservation is inadequate and must be enhanced.","Which one of the following, if true, most helps to reconcile the zoologist's conclusion with the above evidence?",The two government agencies responsible for species preservation are typically under budget and are known for an utter lack of cooperation.,"Unlike today, funding for the preservation of species was essentially nonexistent 15 years ago.","Over the past 15 years, the salaries of conservationists employed by the government to work on species preservation solutions have increased at a rate twice that of inflation.","Within the past 15 years, there have been breakthroughs in species demography that allow scientists to identify those species most in need of protection far before they face any real risk of extinction.",1,val_29,0.507159234
"Heavy rains during Centralia's corn planting season prevented some farmers there from planting corn. It is now the planting season for soybeans, another of Centralia's principal crops, and those fields originally intended for corn are dry enough for planting. Nonetheless, even though soybean prices are unusually high at present, the farmers will leave most of these fields empty rather than plant them with soybeans, since__.",Which of the following most logically completes the passage below?,Some Centralian farmers anticipate serious financial losses due to the extremely wet spring planting season.,The extensive rains have led to an increase in the price of corn.,Chemicals that were used to prepare the fields for corn planting would stunt the growth of soybeans.,Many Centralian farmers grow both corn and soybeans.,2,val_243,0.005491365
"A photograph of the night sky was taken with the camera shutter open for an extended period. The normal motion of stars across the sky caused the images of the stars in the photograph to appear as streaks. However, one bright spot was not streaked. Even if the spot were caused, as astronomers believe, by a celestial object, that object could still have been moving across the sky during the time the shutter was open, since__.",Which of the following most logically completes the argument?,The spot was not the brightest object in the photograph.,Stars in the night sky do not appear to shift position relative to each other.,The spot could have been caused by an object that emitted a flash that lasted for only a fraction of the time that the camera shutter was open.,"If the camera shutter had not been open for an extended period, it would have recorded substantially fewer celestial objects.",2,val_362,0.148182815
"Fortune-teller: Admittedly, the claims of some self-proclaimed ""psychics"" have been shown to be fraudulent, but the exposure of a few charlatans cannot alter the fundamental fact that it has not been scientifically proven that there is no such thing as extrasensory perception (ESP). Furthermore, since the failed attempts to produce such a proof have been so numerous, one must conclude that some individuals do possess ESP.",The reasoning in the fortune-teller's argument is most vulnerable to criticism on the grounds that the argument:,Takes for granted that the fact that a claim has not been demonstrated to be false establishes that it is true.,Overlooks the possibility that some of the scientific studies mentioned reached inaccurate conclusions about whether ESP exists.,Takes for granted that proof that many people lack a characteristic does not establish that everyone lacks that characteristic.,Takes for granted that the number of unsuccessful attempts to prove a claim is the only factor relevant to whether one should accept that claim.,0,val_361,0.939618612
"One of the things lenders do in evaluating the risk of a potential borrower defaulting on a loan is to consider the potential borrower's credit score. In general, the higher the credit score, the less the risk of default. Yet for mortgage loans, the proportion of defaults is much higher for borrowers with the highest credit scores than for other borrowers.","Which one of the following, if true, most helps to resolve the apparent discrepancy in the statements above?",Mortgage lenders are much less likely to consider risk factors other than credit score when evaluating borrowers with the highest credit scores.,Most potential borrowers have credit scores that are neither very low nor very high.,Credit scores reported to mortgage lenders are based on collections of data that sometimes include errors or omit relevant information.,A potential borrower's credit score is based in part on the potential borrower's past history in paying off debts in full and on time.,0,val_319,0.319482264
"A large survey of scientists found that almost all accept Wang's Law, and almost all know the results of the Brown-Eisler Experiment. But those results together with Wang's Law contradict the Minsk Hypothesis. Therefore, most of the scientists surveyed reject the Minsk Hypothesis.",The argument requires assuming which one of the following?,Wang's Law has in fact been shown to be true.,The scientists surveyed are generally aware that the results of the Brown-Eisler Experiment together with Wang's Law contradict the Minsk Hypothesis.,The sample is large enough to be representative of scientists in the field.,Almost all of the scientists surveyed are familiar with the way in which the results of the Brown-Eisler Experiment were obtained.,1,val_82,0.731097019
"Physiologist: The likelihood of developing osteoporosis is greatly increased by a deficiency of calcium in the diet. Dairy products usually contain more calcium per serving than do fruits and vegetables. Yet in countries where dairy products are rare, and fruits and vegetables are the main source of calcium, the incidence of osteoporosis is much lower than in countries where people consume a great deal of calcium from dairy products.","Which one of the following, if true, would most help to resolve the apparent discrepancy described by the physiologist?",A healthy human body eventually loses the excess calcium that it takes in.,There are more people who have a calcium deficiency than there are who have developed osteoporosis.,The fats in dairy products tend to inhibit the body's calcium absorption.,Many people who eat large quantities of fruits and vegetables also consume dairy products.,2,val_493,0.391354982
"When doctors vaccinate a patient, their intention is to expose him or her to a weakened form of a disease-causing pathogen and thus to make the patient better able to resist the pathogen and less likely to develop a severe form of that disease later.",Which one of the following best illustrates the principle that the passage illustrates?,"In some circumstances, firefighters use fire to fight fire by creating an intense explosion very close to an uncontrollable blaze that they wish to extinguish, thus momentarily depriving it of the oxygen it needs to continue burning.",Some police departments energetically pursue those who commit minor crimes; in doing so they intend to provide examples to deter people who might be tempted to commit more-serious crimes.,"In some cases, a business will close down some of its operations, its intention being to position the company to be more profitable later even though this involves expenses in the current period.","Some parents read their children fairy tales containing allegorical treatments of treachery and cruelty, with the intention of making them less emotionally vulnerable to these phenomena when they encounter them later in life.",3,val_462,0.724425144
"Music historian: Some critics lament the fact that impoverished postwar recording studios forced early bebop musicians to record extremely short solos, thus leaving a misleading record of their music. But these musicians' beautifully concise playing makes the recordings superb artistic works instead of mere representations of their live solos. Furthermore, the conciseness characteristic of early bebop musicians' recordings fostered a compactness in their subsequent live playing, which the playing of the next generation lacks.","The music historian's statements, if true, most strongly support which one of the following?",The difficult postwar recording conditions had some beneficial consequences for bebop.,Musicians will not record extremely short solos unless difficult recording conditions force them to do so.,Short bebop recordings are always superior to longer ones.,Representations of live solos generally are not valuable artistic works.,0,val_285,0.212218642
"No one in the French department to which Professor Alban belongs is allowed to teach more than one introductory level class in any one term. Moreover, the only language classes being taught next term are advanced ones. So it is untrue that both of the French classes Professor Alban will be teaching next term will be introductory level classes.",The pattern of reasoning displayed in the argument above is most closely paralleled by that in which one of the following arguments?,"New buildings that include public space are exempt from city taxes for two years and all new buildings in the city's Alton district are exempt for five years, so the building with the large public space that was recently completed in Alton will not be subject to city taxes next year.","All property on Overton Road will be reassessed for tax purposes by the end of the year and the Elnor Company headquarters is on Overton Road, so Elnor's property taxes will be higher next year.","The Morrison Building will be fully occupied by May and since if a building is occupied by May the new tax rates apply to it, the Morrison Building will be taxed according to the new rates.","The revised tax code does not apply at all to buildings built before 1900, and only the first section of the revised code applies to buildings built between 1900 and 1920, so the revised code does not apply to the Norton Building, since it was built in 1873.",0,val_320,0.18080917
